azimuth_deg,horizon_elev_deg
122.10,2.3352
122.20,2.3081
122.30,2.2591
122.40,2.1888
122.50,2.1119
122.60,2.0557
122.70,2.0956
122.80,2.1358
122.90,2.1970
123.00,2.2145
123.10,2.2555
123.20,2.2679
123.30,2.2718
123.40,2.2583
123.50,2.2424
123.60,2.2407
123.70,2.2568
123.80,2.3113
123.90,2.3889
124.00,2.4231
124.10,2.4018
124.20,2.3749
124.30,2.3151
124.40,2.2837
124.50,2.2151
124.60,2.1736
124.70,2.1241
124.80,2.1258
124.90,2.1509
125.00,2.2004
125.10,2.1873
125.20,2.1145
125.30,2.0791
125.40,2.0236
125.50,1.9745
125.60,1.9610
125.70,1.9132
125.80,1.8743
125.90,1.8584
126.00,1.8390
126.10,1.8363
126.20,1.8178
126.30,1.7823
126.40,1.7780
126.50,1.7233
126.60,1.7166
126.70,1.7107
126.80,1.7319
126.90,1.7577
127.00,1.7661
127.10,1.7948
127.20,1.8207
127.30,1.8253
127.40,1.8219
127.50,1.8187
127.60,1.8194
127.70,1.8161
127.80,1.7977
127.90,1.7940
128.00,1.7782
128.10,1.7427
128.20,1.6967
128.30,1.5962
128.40,1.5522
128.50,1.5603
128.60,1.5603
128.70,1.5247
128.80,1.5873
128.90,1.5624
129.00,1.6087
129.10,1.6087
129.20,1.5765
129.30,1.6053
129.40,1.5992
129.50,1.6026
129.60,1.6026
129.70,1.5823
129.80,1.6168
129.90,1.6168
130.00,1.5884
130.10,1.6197
130.20,1.5809
130.30,1.6333
130.40,1.6333
130.50,1.6972
130.60,1.7241
130.70,1.7320
130.80,1.7544
130.90,1.7544
131.00,1.7666
131.10,1.7973
131.20,1.8031
131.30,1.8170
131.40,1.8170
131.50,1.8320
131.60,1.8320
131.70,1.8320
131.80,1.8395
131.90,1.8395
132.00,1.8378
132.10,1.8378
132.20,1.8541
132.30,1.8497
132.40,1.8497
132.50,1.9029
132.60,1.9029
132.70,1.9135
132.80,1.8834
132.90,1.9027
133.00,1.8460
133.10,1.8460
133.20,1.9325
133.30,1.8999
133.40,1.9433
133.50,1.9433
133.60,1.9476
133.70,1.9476
133.80,1.8927
133.90,1.9579
134.00,1.9443
134.10,1.9542
134.20,1.9067
134.30,1.9067
134.40,1.8962
134.50,1.8962
134.60,1.9009
134.70,1.8934
134.80,1.9342
134.90,1.9651
135.00,1.9257
135.10,1.9532
135.20,1.9701
135.30,1.9856
135.40,2.0088
135.50,2.0170
135.60,2.1142
135.70,2.1344
135.80,2.1731
135.90,2.2106
136.00,2.1809
136.10,2.1676
136.20,2.1957
136.30,2.1957
136.40,2.1745
136.50,2.1168
136.60,2.1025
136.70,2.0915
136.80,2.0618
136.90,2.0256
137.00,2.0256
137.10,1.9158
137.20,1.8879
137.30,1.8879
137.40,1.8110
137.50,1.7651
137.60,1.7448
137.70,1.7639
137.80,1.7667
137.90,1.7871
138.00,1.7861
138.10,1.7765
138.20,1.7595
138.30,1.7292
138.40,1.6856
138.50,1.6309
138.60,1.5806
138.70,1.5135
138.80,1.4851
138.90,1.4279
139.00,1.4156
139.10,1.3844
139.20,1.3631
139.30,1.3466
139.40,1.3641
139.50,1.3593
139.60,1.3593
139.70,1.3335
139.80,1.3335
139.90,1.3008
140.00,1.2749
140.10,1.2330
140.20,1.1783
140.30,1.1633
140.40,1.1265
140.50,1.0750
140.60,1.0847
140.70,1.0301
140.80,1.0708
140.90,1.0473
141.00,1.0543
141.10,1.0592
141.20,1.1103
141.30,1.1557
141.40,1.1742
141.50,1.1483
141.60,1.1248
141.70,1.1252
141.80,1.1110
141.90,1.0820
142.00,1.0456
142.10,1.0227
142.20,1.0075
142.30,0.9858
142.40,0.9748
142.50,0.9290
142.60,0.9604
142.70,0.9509
142.80,0.9241
142.90,0.9372
143.00,0.9347
143.10,0.9159
143.20,0.9046
143.30,0.9433
143.40,0.9890
143.50,1.0152
143.60,1.0214
143.70,1.0490
143.80,1.0635
143.90,1.0771
144.00,1.0790
144.10,1.0813
144.20,1.0769
144.30,1.0872
144.40,1.1123
144.50,1.1299
144.60,1.1452
144.70,1.1701
144.80,1.1919
144.90,1.2097
145.00,1.2239
145.10,1.2204
145.20,1.2063
145.30,1.1790
145.40,1.1522
145.50,1.1410
145.60,1.1263
145.70,1.1192
145.80,1.1099
145.90,1.1196
146.00,1.1241
146.10,1.1348
146.20,1.1283
146.30,1.1019
146.40,1.0981
146.50,1.0810
146.60,1.0030
146.70,0.9341
146.80,0.8685
146.90,0.8408
147.00,0.8312
147.10,0.8020
147.20,0.7745
147.30,0.7016
147.40,0.6443
147.50,0.5781
147.60,0.5397
147.70,0.4860
147.80,0.4299
147.90,0.4349
148.00,0.4317
148.10,0.4308
148.20,0.4180
148.30,0.4229
148.40,0.4267
148.50,0.4278
148.60,0.4370
148.70,0.4000
148.80,0.3516
148.90,0.2967
149.00,0.2539
149.10,0.2521
149.20,0.2858
149.30,0.3169
149.40,0.3416
149.50,0.3532
149.60,0.3640
149.70,0.3789
149.80,0.4056
149.90,0.4401
150.00,0.4752
150.10,0.5197
150.20,0.5523
150.30,0.5625
150.40,0.5785
150.50,0.5976
150.60,0.6217
150.70,0.6345
150.80,0.6475
150.90,0.6597
151.00,0.6784
151.10,0.7139
151.20,0.7497
151.30,0.7786
151.40,0.7866
151.50,0.8092
151.60,0.8499
151.70,0.8718
151.80,0.8684
151.90,0.8605
152.00,0.8846
152.10,0.9096
152.20,0.9326
152.30,0.9727
152.40,0.9706
152.50,0.9703
152.60,1.0045
152.70,0.9499
152.80,0.8793
152.90,0.8710
153.00,0.8090
153.10,0.8003
153.20,0.7872
153.30,0.7854
153.40,0.8039
153.50,0.8213
153.60,0.8479
153.70,0.8624
153.80,0.8884
153.90,0.9081
154.00,0.9144
154.10,0.9899
154.20,1.0230
154.30,1.0780
154.40,1.1015
